Designator,Mid X,Mid Y,Rotation,Layer
C1,147.6,-97.3,270.0,top
C10,141.9375,-99.55,0.0,top
C11,128.425,-102.45,180.0,top
C12,140.3375,-104.45,0.0,top
C13,141.37,-101.55,0.0,top
C14,141.372464,-100.55,0.0,top
C15,127.7375,-101.4125,180.0,top
C16,133.4,-95.85,180.0,top
C17,133.0375,-106.25,180.0,top
C18,138.55,-96.35,0.0,top
C19,138.005,-106.25,0.0,top
C2,154.95,-93.8125,0.0,top
C20,118.9375,-82.3,90.0,top
C21,117.4,-82.85,90.0,top
C22,125.35,-82.25,270.0,top
C3,125.5375,-97.7175,270.0,top
C4,125.55,-101.95,90.0,top
C5,154.90625,-85.875,0.0,top
C6,154.90625,-87.575,0.0,top
C7,158.69375,-85.625,0.0,top
C8,162.24375,-88.375,270.0,top
C9,140.3375,-103.45,0.0,top
D1,159.59375,-99.725,0.0,top
D2,171.0,-94.55,270.0,top
J4,133.1,-88.2,180.0,top
J6,168.33125,-102.125,90.0,top
Q1,161.09375,-92.025,180.0,top
Q2,123.7,-86.7375,270.0,top
R1,162.24375,-96.875,180.0,top
R10,167.05,-94.75,90.0,top
R11,165.4,-94.75,90.0,top
R12,120.7375,-86.6125,90.0,top
R13,123.75,-91.6,0.0,top
R14,119.6,-106.2,225.0,top
R15,123.55,-82.25,90.0,top
R16,153.75,-99.55,270.0,top
R17,169.0,-94.75,90.0,top
R2,154.95,-95.7625,180.0,top
R3,150.35,-99.55,270.0,top
R4,127.8375,-100.05,0.0,top
R5,144.2,-103.2,180.0,top
R6,144.2,-101.7,180.0,top
R7,152.05,-99.55,270.0,top
R8,157.94375,-92.075,270.0,top
R9,123.75,-89.75,0.0,top
SW1,149.175,-84.25,90.0,top
SW2,149.95,-92.25,270.0,top
U1,144.1,-93.35,180.0,top
U2,154.95,-90.6,0.0,top
U3,134.6375,-101.25,270.0,top
U4,159.09375,-88.375,90.0,top
Y1,121.9375,-99.45,0.0,top
